"OriginalName","Category","NewPath","SizeBytes","LastWriteTime"
"00-image.png","00_references_originals","C:\Users\Administrator\Desktop\Dragonfall\AIResult\00_references_originals\00-image.png","2505362","2026/5/9 22:03:03"
"image.png","00_references_originals","C:\Users\Administrator\Desktop\Dragonfall\AIResult\00_references_originals\image.png","596458","2026/5/8 23:24:32"
"IY6AnyBoYPfcM7XNOZhkF.png","00_references_originals","C:\Users\Administrator\Desktop\Dragonfall\AIResult\00_references_originals\IY6AnyBoYPfcM7XNOZhkF.png","2584302","2026/5/19 21:49:43"
"JOgQ7EWfI6aPBS2hjWWsw.png","00_references_originals","C:\Users\Administrator\Desktop\Dragonfall\AIResult\00_references_originals\JOgQ7EWfI6aPBS2hjWWsw.png","3001091","2026/5/19 21:49:43"
"art_style_reference_牧羊人之心.txt","01_style_prompts_docs","C:\Users\Administrator\Desktop\Dragonfall\AIResult\01_style_prompts_docs\art_style_reference_牧羊人之心.txt","9975","2026/5/15 0:24:50"
"dragonfall_art_style_reference.txt","01_style_prompts_docs","C:\Users\Administrator\Desktop\Dragonfall\AIResult\01_style_prompts_docs\dragonfall_art_style_reference.txt","9975","2026/5/15 0:24:50"
"mage_portrait_anime_v01_prompt.txt","01_style_prompts_docs","C:\Users\Administrator\Desktop\Dragonfall\AIResult\01_style_prompts_docs\mage_portrait_anime_v01_prompt.txt","1647","2026/5/9 22:03:03"
"blue_slime_girl_pixel_chibi_U3YNR7VZ23.png","02_slime_girls","C:\Users\Administrator\Desktop\Dragonfall\AIResult\02_slime_girls\blue_slime_girl_pixel_chibi_U3YNR7VZ23.png","266953","2026/5/31 17:29:40"
"blue_slime_girl_pixel_chibi_U3YNR7VZ23.response.json","02_slime_girls","C:\Users\Administrator\Desktop\Dragonfall\AIResult\02_slime_girls\blue_slime_girl_pixel_chibi_U3YNR7VZ23.response.json","448","2026/5/31 17:29:40"
"blue_slime_girl_turnaround_dragonfall_prompt_y345YW8pyT.png","02_slime_girls","C:\Users\Administrator\Desktop\Dragonfall\AIResult\02_slime_girls\blue_slime_girl_turnaround_dragonfall_prompt_y345YW8pyT.png","481662","2026/5/31 17:24:23"
"blue_slime_girl_turnaround_dragonfall_prompt_y345YW8pyT.response.json","02_slime_girls","C:\Users\Administrator\Desktop\Dragonfall\AIResult\02_slime_girls\blue_slime_girl_turnaround_dragonfall_prompt_y345YW8pyT.response.json","448","2026/5/31 17:24:22"
"blue_slime_girl_turnaround_holopix_y345YW8pyT.png","02_slime_girls","C:\Users\Administrator\Desktop\Dragonfall\AIResult\02_slime_girls\blue_slime_girl_turnaround_holopix_y345YW8pyT.png","482662","2026/5/31 17:20:19"
"blue_slime_girl_turnaround_holopix_y345YW8pyT.response.json","02_slime_girls","C:\Users\Administrator\Desktop\Dragonfall\AIResult\02_slime_girls\blue_slime_girl_turnaround_holopix_y345YW8pyT.response.json","448","2026/5/31 17:20:18"
"blue_slime_pixel_4head_jk_fall_A1_256_pixelated.png","02_slime_girls","C:\Users\Administrator\Desktop\Dragonfall\AIResult\02_slime_girls\blue_slime_pixel_4head_jk_fall_A1_256_pixelated.png","19947","2026/5/31 17:59:51"
"blue_slime_pixel_4head_jk_fall_A1_ed45p7kmN3.png","02_slime_girls","C:\Users\Administrator\Desktop\Dragonfall\AIResult\02_slime_girls\blue_slime_pixel_4head_jk_fall_A1_ed45p7kmN3.png","483502","2026/5/31 17:53:06"
"blue_slime_pixel_4head_jk_fall_A1_ed45p7kmN3.response.json","02_slime_girls","C:\Users\Administrator\Desktop\Dragonfall\AIResult\02_slime_girls\blue_slime_pixel_4head_jk_fall_A1_ed45p7kmN3.response.json","448","2026/5/31 17:53:06"
